id	chrom	start	end
6020224	9	97365666	97365715
7550348	9	131769124	131769173
2470465	9	139820719	139820768
6200195	9	131396261	131396505
2630619	9	104325422	104325471
60706	9	139297077	139297126
2570091	9	123618111	123618160
4730538	9	130870887	130870936
10487	9	130871302	130871351
6100112	9	130454109	130454158
160370	9	35682074	35682123
7000356	9	137332214	137332263
2510324	9	34343418	34343467
2750035	9	34343478	34343527
6560025	9	135568531	135568580
7650347	9	33278137	33278186
3390292	9	72999838	72999887
4060619	9	36123683	36123732
3390487	9	36124325	36124374
6380577	9	2729589	2729638
1400059	9	129647594	129647643
520500	9	19452180	19452229
1340241	9	123714715	123714764
1660280	9	128322033	128322082
60102	9	128283830	128283879
4220612	9	35073950	35073999
6480441	9	130565631	130565680
380168	9	130576337	130576386
1770338	9	34610874	34610923
3520220	9	96871745	96871794
6840626	9	125148946	125148995
4180634	9	140069792	140069841
380348	9	26840685	26840734
1850041	9	130697678	130697727
5270435	9	132649580	132649629
5670088	9	119462582	119462631
3520136	9	139880065	139880114
4560392	9	19185345	19185394
7160136	9	102732362	102732411
1410021	9	133998442	133998491
1340411	9	138701588	138701637
1510390	9	100843193	100843242
5490097	9	33922376	33922425
5260563	9	35091331	35091380
4280750	9	33663112	33663161
3390730	9	131708031	131708080
2600291	9	21865693	21865742
7550243	9	108536272	108536321
4540025	9	101983340	101983389
3190390	9	123520033	123520082
6510689	9	99252482	99252531
5360736	9	99252280	99252329
3120403	9	103339190	103339239
7560706	9	115881589	115881638
2850446	9	101631490	101631539
1410379	9	101916271	101916320
630603	9	104172674	104172723
6180632	9	37511137	37511186
940722	9	111706020	111706069
2060037	9	129597203	129597252
6370392	9	135522218	135522267
6330358	9	135601146	135601195
2340056	9	74481765	74481814
1780543	9	127115988	127119043
1570370	9	35813142	35813263
4490348	9	111702720	111702769
1050692	9	101691912	101691961
2970400	9	131938655	131938704
830278	9	36163798	36163847
6770044	9	103065986	103066035
1190066	9	131256961	131257010
2760148	9	34661778	34661827
3370382	9	33463375	33463424
270521	9	3218953	3219002
2600612	9	100433820	100433869
5310241	9	37592458	37592507
730465	9	131572521	131572570
5860463	9	127114568	127114617
1170136	9	79000829	79000878
3190338	9	116135744	116135793
6130196	9	37781994	37782043
5670544	9	32540971	32541020
2510768	9	98776629	98776678
2260577	9	35561717	35561766
130048	9	115422462	115422511
1780661	9	140003483	140003532
5340142	9	4860648	4860697
4070044	9	36336678	36336727
4200148	9	99252602	99252651
7330259	9	131770382	131770431
7040349	9	107539882	107539931
4060576	9	99083222	99083271
3400709	9	138898995	138899044
